City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolskoye,59.7035,30.7861,21.26,58,36,3.68,RU,2023-08-16 06:00:00
1,baghdad,33.3406,44.4009,43.23,18,0,1.74,IQ,2023-08-16 06:00:00
2,rikitea,-23.1203,-134.9692,20.77,57,0,6.47,PF,2023-08-16 06:00:00
3,comodoro rivadavia,-45.8667,-67.5,1.89,60,75,4.06,AR,2023-08-16 06:00:00
4,nueva guinea,11.6876,-84.4562,22.03,98,86,1.94,NI,2023-08-16 06:00:00
5,mackenzie,55.2999,-123.1698,15.12,63,0,0.54,CA,2023-08-16 06:00:00
6,opuwo,-18.0607,13.84,16.68,35,3,0.88,NA,2023-08-16 06:00:00
7,hermanus,-34.4187,19.2345,11.0,80,100,4.56,ZA,2023-08-16 06:00:00
8,farah,32.5,62.5,27.73,10,0,2.07,AF,2023-08-16 06:00:00
9,sovetskaya gavan,48.9723,140.2878,22.36,74,100,3.08,RU,2023-08-16 06:00:00
10,otane,-39.8833,176.6333,12.23,87,74,0.62,NZ,2023-08-16 06:00:00
11,avarua,-21.2078,-159.775,23.03,64,20,7.61,CK,2023-08-16 06:00:00
12,busselton,-33.65,115.3333,14.64,52,7,6.52,AU,2023-08-16 06:00:00
13,zatoka,46.0725,30.4654,25.14,69,0,7.71,UA,2023-08-16 06:00:00
14,tiksi,71.6872,128.8694,8.61,87,100,2.6,RU,2023-08-16 06:00:00
15,georgetown,5.4112,100.3354,31.78,67,20,3.24,MY,2023-08-16 06:00:00
16,port alfred,-33.5906,26.891,14.66,85,100,9.09,ZA,2023-08-16 06:00:00
17,narsaq,60.9167,-46.05,7.12,85,40,1.02,GL,2023-08-16 06:00:00
18,jamestown,42.097,-79.2353,16.2,98,100,1.85,US,2023-08-16 06:00:00
19,saint andrews,34.0454,-81.1293,24.63,65,40,3.01,US,2023-08-16 06:00:00
20,ballsh,40.5989,19.7347,24.67,52,0,1.41,AL,2023-08-16 06:00:00
21,bluff,-46.6,168.3333,9.33,84,90,4.03,NZ,2023-08-16 06:00:00
22,mataura,-46.1927,168.8643,9.15,98,93,1.2,NZ,2023-08-16 06:00:00
23,santa ana,33.7456,-117.8678,23.55,73,40,2.31,US,2023-08-16 06:00:00
24,batemans bay,-35.7167,150.1833,16.16,57,5,5.02,AU,2023-08-16 06:00:00
25,atuona,-9.8,-139.0333,26.08,79,19,6.77,PF,2023-08-16 06:00:00
26,bundaberg,-24.85,152.35,21.66,71,35,4.74,AU,2023-08-16 06:00:00
27,el carrizo,24.0261,-106.8814,26.74,89,91,1.72,MX,2023-08-16 06:00:00
